country,country_code,year,tourism_receipts,tourism_arrivals,tourism_exports,tourism_departures,tourism_expenditures,gdp,inflation,unemployment
Aruba,ABW,1999,782000000,972000,62.54294918,,9.495387383,1722905028,2.280371983,
Africa Eastern and Southern,AFE,1999,8034209108,15309377.84,12.20403008,,7.760536001,2.65429E+11,7.819864776,
Afghanistan,AFG,1999,,,,,,,,
Africa Western and Central,AFW,1999,1443612847,3897975.031,3.97447599,,6.147291409,1.39468E+11,0.37226617,
Angola,AGO,1999,31000000,45000,0.583858021,,2.489638196,6152923310,248.1959024,
Albania,ALB,1999,218000000,371000,55.96919127,,3.699006553,3212121651,0.389437654,18.4
Andorra,AND,1999,,9422000,,,,1240295199,,
Arab World,ARB,1999,,,,,,6.65415E+11,2.669373691,
United Arab Emirates,ARE,1999,893000000,,,,,84445473111,,
Argentina,ARG,1999,3175000000,2898000,11.34037167,,15.88909157,2.83523E+11,,14.05
Armenia,ARM,1999,47000000,41000,12.1823925,,5.645567294,1845482173,0.64824576,11.2
American Samoa,ASM,1999,,41000,,,,,,
Antigua and Barbuda,ATG,1999,,560000,,,,835514814.8,1.121287896,
Australia,AUS,1999,11408000000,4459000,15.24722781,3210000,10.36246439,3.89652E+11,1.483129403,6.876
Austria,AUT,1999,12358000000,17467000,,,,2.16422E+11,0.568993766,4.699
Azerbaijan,AZE,1999,93000000,602000,7.254171344,1204000,7.766451847,4581248567,-8.525170005,16.25
Burundi,BDI,1999,1200000.048,26000,2.019364359,27000,,808077223.4,3.385424273,14
Belgium,BEL,1999,,6369000,,6410000,,2.58246E+11,1.120848234,8.649
Benin,BEN,1999,94400001.53,941000,15.77208897,,7.404819888,3677393999,0.326722893,
Burkina Faso,BFA,1999,,117000,,,,3389566713,-1.072613628,
Bangladesh,BGD,1999,,173000,,1103000,4.198276068,51270569884,6.106695898,
Bulgaria,BGR,1999,1184000000,5056000,20.43220055,2376000,11.38461776,13627325461,2.573042819,14.1
Bahrain,BHR,1999,785000000,3280000,15.03340351,,9.475277924,7528469149,-1.287587972,
"Bahamas, The",BHS,1999,1598000000,3648000,72.39286038,,11.87375517,7683870000,1.25424826,7.45
Bosnia and Herzegovina,BIH,1999,258000000,147000,19.91561452,,2.288508016,4686256363,,
Belarus,BLR,1999,92000000,,1.437567386,,1.998437312,12138243081,293.6787509,2.1
Belize,BLZ,1999,,340000,,,8.295792108,1000250000,2.621395246,12.84
Bermuda,BMU,1999,,549000,,,,3324433000,,
